"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"ANT1";"";"ANTENNA";"PAD-01";"Antenna";"";"";"";"";
"ANT2";"";"ANTENNA";"PAD-01";"Antenna";"";"";"";"";
"C1";"";"CPOL-USE2,5-6E";"E2,5-6E";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"IC1";"NE555";"NE555";"DIL-08";"General purpose bipolar Timer";"Arrow Electronics";"NE555N";"1467742";"89K1486";
"IC2";"LM336LP";"LM336LP";"TO92";"2.5-V INTEGRATED REFERENCE CIRCUITS";"";"";"";"";
"IC3";"INA118U";"INA118U";"SO08";"Instrumentation Amplifier";"TEXAS INSTRUMENTS";"INA118U";"1212404";"04M6168";
"JP1";"";"M03PTH";"1X03";"Header 3";"";"";"";"";
"JP2";"";"M03PTH";"1X03";"Header 3";"";"";"";"";
"R1";"";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";
"R2";"";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";
"R3";"";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";
"U$1";"ARDUINO_PRO_MINI_LAYOUT";"ARDUINO_PRO_MINI_LAYOUT";"ARDUINO_PRO_MINI_PINOUT";"";"";"";"";"";
"U1";"EM406";"EM406";"EM406";"EM406 GPS Connector";"";"";"";"";
"X1";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"MOLEX";"22-23-2021";"1462926";"25C3832";
"Z1";"SRA-1";"SRA-1";"A01";"Frequency Mixer Level 7 (LO Power + 7 dBm)";"";"";"unknown";"unknown";
